mouse_consent.x,mouse_consent.y,mouse_consent.leftButton,mouse_consent.midButton,mouse_consent.rightButton,mouse_consent.time,mouse_consent.clicked_name,key_resp_introduction.keys,key_resp_introduction.rt,key_resp_instructions.keys,key_resp_instructions.rt,example_resp.keys,example_resp.rt,example_resp_2.keys,example_resp_2.rt,pol1,pol2,pol3,pol4,pol5,pol6,key_resp_monotonicity.keys,key_resp_monotonicity.corr,key_resp_monotonicity.rt,condition.thisRepN,condition.thisTrialN,condition.thisN,condition.thisIndex,condition.ran,condition.order,condFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,obj1,obj2,obj3,obj4,obj5,obj6,corrAns,quantifier,target,Prolific_ID*,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,break_look.thisRepN,break_look.thisTrialN,break_look.thisN,break_look.thisIndex,break_look.ran,break_look.order,key_resp_instruction_test.keys,key_resp_instruction_test.rt,size_rep.keys,size_rep.rt,rep_test.keys,rep_test.corr,rep_test.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order,s1,s2,s3,s4,s5,s6,col,typedWord
0.367780671,-0.414290365,1,0,0,10.98200011,consent_button,space,9.279999971,space,39.40100002,space,14.10899997,space,11.44499993,"[-0.3,0]","[-0.1,0]","[0.1,0]","[0.3,0]","[-0.5,0]","[0.5,0]",c,1,3.005000114,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,red,c,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.5,0]","[-0.5,0]","[-0.1,0]","[0.3,0]","[0.1,0]",c,0,2.464999914,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,1,1,11,blue,blue,blue,blue,red,red,m,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.3,0]","[0.1,0]","[-0.1,0]","[0.5,0]","[-0.5,0]",m,0,3.136999846,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,4,1,11,blue,red,red,red,red,red,c,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.1,0]","[-0.3,0]","[0.1,0]","[0.5,0]","[0.3,0]",m,1,3.350999832,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,2,1,11,blue,blue,blue,red,red,red,m,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.1,0]","[-0.1,0]","[0.3,0]","[-0.3,0]","[0.5,0]",m,0,2.265999794,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,5,1,11,red,red,red,red,red,red,c,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.3,0]","[-0.5,0]","[0.5,0]","[-0.1,0]","[0.1,0]",c,0,2.719000101,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,3,1,11,blue,blue,red,red,red,red,m,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.5,0]","[0.1,0]","[-0.3,0]","[0.5,0]","[-0.1,0]",m,1,2.634000063,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,3,1,11,blue,blue,red,red,red,red,m,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.3,0]","[-0.5,0]","[0.5,0]","[0.1,0]","[-0.1,0]",m,0,1.849999905,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,red,c,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.1,0]","[-0.3,0]","[0.1,0]","[-0.5,0]","[0.3,0]",m,0,3.105999947,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,4,1,11,blue,red,red,red,red,red,c,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.1,0]","[0.3,0]","[0.5,0]","[-0.3,0]","[0.1,0]",c,1,1.819000006,1,0,8,0,1,7,monotonicity_b1_non_v2.xlsx,2,0,12,5,1,11,red,red,red,red,red,red,c,non,red,58f669cefb4d7500014af69b,Male,43,2020-03-25_15h28.45.750,non-monotone_v1,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
